paper,section_name,nchar,text,journal
125 jadamec 1-s2.0-S0012821X13003257-main.pdf,formation.of.wrangell.block.in.models.with.a.denali.fault,4101,"3.2. Formation of Wrangell block in models with a Denali fault Billen, 2010, 2012 ). In addition, the two imposed shear zones, the PBSZ and Denali fault shear zone, mapped onto the mesh by Slab- For models that include a Denali fault, a semi-isolated segment Generator are smoothly blended into the background viscosity in within the overriding plate forms that is bounded to the south by the Aleutian trench, underlain by the plate interface (PBSZ), CitcomCU using the modifications to CitcomCU by J",Earth and Planetary Science Letters
125 jadamec 1-s2.0-S0012821X13003257-main.pdf,predicted.overriding.plate.and.wrangell.block.motion,6339,"3.4. Predicted overriding plate and Wrangell block motion In the geodynamic models of the Alaska subduction zone, the In models that do not include a Denali fault, the predicted negative buoyancy of the slab drives the flow, and therefore the motion of the overriding plate in south-central Alaska is west- models solve for the velocity of the subducting plate as well as the northwest for models using the Newtonian viscosity ( Fig. 4 ,left overriding plate ( Table 2 ). The velocity of the subducti",Earth and Planetary Science Letters
125 jadamec 1-s2.0-S0012821X13003257-main.pdf,regional.dynamic.topography.in.south.central.alaska,2870,"3.5. Regional dynamic topography in south-central Alaska 21 20 the Denali fault from 10 Pa s to 10 Pa s increases the velocity within the Wrangell block, with maximum values on the order of There are several features that emerge in the dynamic topogra- 1.0 cm/yr. phy regardless of the rheology used or the inclusion of the De- The velocity of the Wrangell block decreases sharply across the nali fault. The overall pattern is a suite of highs and lows that Denali fault, with the transition occurrin",Earth and Planetary Science Letters
125 jadamec 1-s2.0-S0012821X13003257-main.pdf,dynamic.topography.along.the.denali.fault.and.uplift.of.the.central,4754,"3.6. Dynamic topography along the Denali fault and uplift of the central ture. Alaska Range The most prominent low occurs as an elongate region follow- The inclusion of a Denali fault has a significant impact on lo- ing the Cook Inlet Basin and arcing eastward into the Wrangell calizing deformation inboard of the plate boundary ( Figs. 6 b, d, f Basin ( Fig. 6 ). This prominent low predicted by the geodynamic and Table 2 ). For models that include a Denali fault, localized pos- models spatially ",Earth and Planetary Science Letters
125 jadamec 1-s2.0-S0012821X13003257-main.pdf,discussion,7685,"4. Discussion mountains ( Enkelmann et al., 2009 ) and implies that the St. Elias mountains arise in part from the plate boundary geometry in that We present 3D numerical models of the PacificÂ­North Ameri- they are positioned in the apex of the plate boundary corner of can plate in Alaska that include an overriding plate, the underlying a convergent margin ( Table 1 and Fig. 6 and cross section FF ). mantle, and a slab with an observationally based geometry that is The predicted high in dynamic",Earth and Planetary Science Letters
125 jadamec 1-s2.0-S0012821X13003257-main.pdf,conclusions,7577,"5. Conclusions to the Wrangell block emerges in the models that use a composite We investigate the relative roles of the slab geometry, continen- viscosity ( Figs. 3 and 7 ) and correlates with an observed north- south trending band of seismicity located approximately along the tal scale faulting, and a non-linear rheology on deformation in the Cook InletÂ­Susitna Basins ( Page et al., 1991 ). Thus, the modeling overriding plate using 3D numerical models of the PacificÂ­North American plate syst",Earth and Planetary Science Letters
125 jadamec 1-s2.0-S0012821X13003257-main.pdf,x.other.,1646,"based on seismicity and seismic tomography and a variable thermal structure for both the subducting and Keywords: overriding plates based on geologic and geophysical observables. The inclusion of the Denali fault in the flat slab subduction lithosphere deformation models allows for the portion of south-central Alaska between the Denali fault and the trench to partially intra-continental faults decouple from the rest of North America, forming an independently moving region that correlates to nume",Earth and Planetary Science Letters
149 lassak 1-s2.0-S0012821X09006591-main.pdf,introduction,8497,"1. Introduction Davaille et al., 2002, 2003; Jellinek and Manga, 2004; Schubert et al., 2004; McNamara and Zhong, 2004, 2005; Tan and Gurnis, 2005; Ritsema Geochemical evidence suggests the presence of chemically distinct et al., 2007; Tan and Gurnis, 2007; Deschamps and Tackley, 2008; reservoirs at depth in Earth's mantle that provide the source for ocean Garnero and McNamara, 2008; Bull et al., 2009 ). Here, we focus on two island basalts (OIB) and mid-ocean ridge basalts (MORB) (e.g., Hofmann",Earth and Planetary Science Letters
149 lassak 1-s2.0-S0012821X09006591-main.pdf,method,151,2. Method fi to signi cantly different mechanisms of mass and heat transport. Plume cluster models advect heat and compositional heterogeneity from the,Earth and Planetary Science Letters
149 lassak 1-s2.0-S0012821X09006591-main.pdf,governing.equations,5354,"2.1. Governing equations CMB to the top of the mantle, mixing both with the surrounding mantle. The result is a temperature structure that is relatively homogeneous and a We solve the conservation equations of mass, momentum, energy and "" "" compositional structure that is well-stirred. Thermochemical piles, on the composition using the Boussinesq approximation. All reference vari- other hand, lead to a very different thermal and compositional mantle ables ( Table 1 ) are dimensional. Unless othe",Earth and Planetary Science Letters
149 lassak 1-s2.0-S0012821X09006591-main.pdf,computational.method,4435,"2.2. Computational method We use the thermochemical extension of CitcomS, a three- fi dimensional (3D) spherical nite-element thermochemical convection Â­ 235 T.M. Lassak et al. / Earth and Planetary Science Letters 289 (2010) 232 241 code ( Zhong et al., 2000; McNamara and Zhong, 2004 ), to solve the conservation equations for a series of whole mantle convection calculations, which correspond to different dynamical hypotheses. We track compositional evolution via advection tracers by employing ",Earth and Planetary Science Letters
149 lassak 1-s2.0-S0012821X09006591-main.pdf,results,1431,"3. Results and are primarily evident only at long wavelengths ( Fig. 2 I), while differences in topographic relief appear to be negligible at smaller We present a series of plume cluster (denoted by the abbreviation PC) wavelengths (degrees greater than 6 or 8). In the plume cluster cases, the and thermochemical pile (denoted by the abbreviation TC) cases. All areal distribution of topography ( Fig. 2 J) is such that there is an apparent calculations are listed in Table 2 . Our reference cases f",Earth and Planetary Science Letters
149 lassak 1-s2.0-S0012821X09006591-main.pdf,thermochemical.piles,2539,"3.1. Thermochemical piles I (plume Fig. 3 A(piles, Case TC2) and Fig. 3 CMB topography shown in )leads to =10 dependence of viscosity by an order of magnitude ( the resulting CMB topographic relief. 3   characteristic style of CMB topography. Reducing the temperature- L). Here we will highlight the important aspects of each model and I Fig. 3 ( Â­ a change in the temperature-dependence of viscosity will affect the H) and plume cluster models A Fig. 3 buoyancy number for pile models ( Â­ cientinb",Earth and Planetary Science Letters
149 lassak 1-s2.0-S0012821X09006591-main.pdf,plume.clusters,1730,"3.2. Plume clusters fl history. These slabs drive the mantle ow, leading to upwelling centers fi beneath Africa and the Paci c(e.g., McNamara and Zhong, 2005 ). The CMB topography for our reference plume cluster case, PC1, without 119 million year time-dependent calculation is initiated using the and with self-gravitation is shown in Fig. 2 Fand G, respectively. CMB fi temperature pro le derived from a 2D axi-symmetric convection topographic relief beneath upwelling plume cluster regions is excl",Earth and Planetary Science Letters
149 lassak 1-s2.0-S0012821X09006591-main.pdf,temperature.dependence.of.viscosity,1610,"3.3. Temperature-dependence of viscosity self-gravitation, variations in temperature-dependence of viscosity, fi changes in Rayleigh number, variations in initial pile thickness, and We vary the activation coef cientinbothmodels to examine whether Â­ buoyancy number for pile models ( Fig. 3 A H) and plume cluster models a change in the temperature-dependence of viscosity will affect the Â­ ( Fig. 3 I L). Here we will highlight the important aspects of each model and characteristic style of CMB t",Earth and Planetary Science Letters
149 lassak 1-s2.0-S0012821X09006591-main.pdf,reference.viscosity,2611,"3.4. Reference viscosity "" "" pile regions is generally positive (here, positive relief on the CMB refers to the CMB being elevated towards the surface of the Earth, away from We vary the Rayleigh number in both models to examine how sen- the core). The overall pattern of CMB topography in the pile model is sitive our results are to the reference viscosity. Increasing the reference c(""viscosity an order of magnitude (i.e., reducing the Rayleigh number an"", ""order of magnitude) leads to increased ",Earth and Planetary Science Letters
149 lassak 1-s2.0-S0012821X09006591-main.pdf,volume.of.thermochemical.piles,2824,"3.5. Volume of thermochemical piles the plumes. The dense collection and abundance of high-relief ridges are unique to plume cluster models. Our reference thermochemical pile case (TC1) employs a volume of The buoyancy structure for these calculations was derived from a intrinsically more dense material that is equivalent to a 255 km thick time-dependent mantle convection calculation that used kinematic layer along the CMB. Here, we investigate the sensitivity of CMB velocity boundary conditions",Earth and Planetary Science Letters
149 lassak 1-s2.0-S0012821X09006591-main.pdf,buoyancy.number,2547,"3.6. Buoyancy number Earth nor previous cases. In order to explore the differences in CMB topography patterns The reference thermochemical pile case (TC1) utilizes a buoyancy between our thermochemical pile and plume cluster models at long- number of 0.6. To investigate sensitivity of CMB topography to buoyancy wavelength scale, we expand the CMB topography in cases TC1 and number (i.e., intrinsic density of pile material), we investigate buoyancy PC1 only out to degree 4 ( Fig. 5 A and B), whic",Earth and Planetary Science Letters
149 lassak 1-s2.0-S0012821X09006591-main.pdf,discussion,4428,"4. Discussion harmonic degree, we nd that topography characteristics unique to fi each model begin to signi cantly stand out above degree 15. A primary motivation for this study was to assess if seismically It is important to note the uncertainties associated with our ther- determined CMB topography maps are capable of discriminating mochemical pile and plume cluster models. While we use a best between proposed end-member geodynamical mantle models. We estimate of material properties, some param",Earth and Planetary Science Letters
149 lassak 1-s2.0-S0012821X09006591-main.pdf,conclusions,978,"5. Conclusions calculating topography without self-gravitation as when calculat- ing topography with self-gravitation. 4) Importance of small-scale structure: In order to identify a We show that the thermochemical pile and plume cluster models fi produce a unique style of topographic relief along the CMB; therefore, speci c mantle model for Earth's mantle using CMB topography, N seismically determined CMB topography may eventually become useful it is necessary to resolve smaller-scale ( degree 1",Earth and Planetary Science Letters
149 lassak 1-s2.0-S0012821X09006591-main.pdf,x.other.,473,"display CMB depressions beneath subduction related downwelling. While each of the two models produces a Keywords: fi mantle convection unique, characteristic style of CMB topography, we nd that seismic models will require shorter length scales Â­ core mantle boundary than are currently being employed in order to distinguish between the end-member dynamic models CMB topography presented here. thermochemical piles Â© 2009 Elsevier B.V. All rights reserved. plume clusters",Earth and Planetary Science Letters
152 lee 1-s2.0-S0012821X11006315-main.pdf,introduction,6815,"1. Introduction Analyses of present global plate motion show that the back-arcs of the Aleutians, Japan-Kuril (JK) and Andes are dominated by compres- Numerous studies have been conducted to infer the relationship sional stress features (back-arc shortening) while the back-arcs of the Â­ between the current slab dip and various current subduction param- Mariana, Sumatra and Tonga Kermadec are characterized by exten- eters such as slab age and convergence rate ( Cruciani et al., 2005; sional stre",Earth and Planetary Science Letters
152 lee 1-s2.0-S0012821X11006315-main.pdf,numerical.models,4417,"2. Numerical models 26 Ma) ( Charrier et al., 2002 )( Fig. 1 f). The temporal evolution of the back-arc stress environments is considered to be attributed to For the dynamic subduction model experiments used in this temporal evolution of slab dip but, it is not suggested why the slab paper, we use a standard form of the incompressible Boussinessq ap- dip in the upper mantle has been changed with time in the Andean proximation broadly used for the studies of mantle convection and subduction zone.",Earth and Planetary Science Letters
152 lee 1-s2.0-S0012821X11006315-main.pdf,modeling.results,102,3. Modeling results 0 Di (.) Di dissipation number 0.4725 0 6 Ra (.) Ra Rayleigh number 3.7672 Ã— 10 0,Earth and Planetary Science Letters
152 lee 1-s2.0-S0012821X11006315-main.pdf,reference.experiments..effect.of.viscosity.increases.across.the,16187,"3.1. Reference experiments: effect of viscosity increases across the 660 km discontinuity on slab buckling the top of the domain (5780 km). Diverse implementations of the thrust zone have been used in previous subduction studies ( Billen One key factor in the subduction experiments is the viscosity in- and Hirth, 2007; Chen and King, 1998; Zhong and Gurnis, 1995 ) and crease across the 660 km discontinuity, which ranges from ~10 to fi we implement a diagonal weak zone (27Â°) consisting of 16 ele",Earth and Planetary Science Letters
152 lee 1-s2.0-S0012821X11006315-main.pdf,effect.of.a.stronger.subducting.slab,3767,"3.2. Effect of a stronger subducting slab fl fl viscosity increase across the 660 km discontinuity. In contrast to ki- ling phase with slab trajectories from the experiment using an 80-fold ). Conrad and Lithgow-Bertelloni, 2004 ( rate, slab thickness and amplitude during the steady-state slab buck- due to the slab suction by the subducting slab in the lower mantle depicts the convergence Fig. 4 dynamic subduction experiments. ow coupling between the lithosphere and whole mantle scale return fl ",Earth and Planetary Science Letters
152 lee 1-s2.0-S0012821X11006315-main.pdf,scaling.laws.for.buckling.analyses,9648,"3.3. Scaling laws for buckling analyses Time (Myr) In a previous study ( Ribe et al., 2007 ), the apparent thickening of b)   Convergence Rate and Slab Dip (64-fold) the subducted slab is attributed to slab buckling occurring in the shal- 120 10 low lower mantle. The scaling laws for buckling analysis developed 1 2 3 105 8 by Ribe are consistent with the amplitude of the slab buckling ob- 90 6 served in tomography images. For example, Ribe et al. (2007) show 75 4 Dip ( ) 60 that the amplitudes o",Earth and Planetary Science Letters
152 lee 1-s2.0-S0012821X11006315-main.pdf,effect.of.dynamic.subduction,7098,"3.4. Effect of dynamic subduction an 80-fold viscosity increase. Each amplitude corresponds to the distance between the highest and lowest peaks of each slab buckling cycle. Although the buckling analyses above show that the scaling laws predict the buckling behavior of the subducting slab, it remains Fig. 5 shows the amplitudes of calculated and measured slab buck- unclear how the dynamic subduction affects slab buckling compared fl ling by using the set of experiments varying viscosity increas",Earth and Planetary Science Letters
152 lee 1-s2.0-S0012821X11006315-main.pdf,effect.of.trench.migration,2936,"3.5. Effect of trench migration of convergence rates develops in the experiments using leftward mantle fl fi ow (trench advance) but, the buckling amplitude is signi cantly re- - fl All the dynamic and kinematic subduction experiments above have duced when the 2 cm/a leftward mantle ow is applied ( Fig. 7 a). - fl a stationary trench. However, most of the subduction zones in the However, the experiment using 2 cm/a leftward mantle ow shows world have experienced trench migration caused by slab r",Earth and Planetary Science Letters
152 lee 1-s2.0-S0012821X11006315-main.pdf,discussion,151,4. Discussion Fig. 7 shows convergence rates and selected slab trajectories from the experiments using a 64-fold viscosity increase. Periodic evolution,Earth and Planetary Science Letters
152 lee 1-s2.0-S0012821X11006315-main.pdf,reason.for.the.stationary.trench.and.slab.buckling.in.our.subduction,3933,"4.1. Reason for the stationary trench and slab buckling in our subduction experiments Trench Migration (64-fold) ` Our numerical subduction experiments do not have self-sustain- a) ' ing trench migration (advance or roll-back); the experiments show-  Convergence rate (trench advance) fl ing trench migration are conducted using lateral mantle ow which 12 -2 cm/a approximates trench migration ( Section 3.5 ). Thus, it is questionable 9 -1 cm/a why our subduction experiments do not develop self-sus",Earth and Planetary Science Letters
